transaction_id,product_id,customer_id,quantity,transaction_date,total_amount,product_id,product_name,category_id,supplier_id,price,stock_level,reorder_point,cost,category_id,category_name,custAmt_purchase,adjustment_id,product_id,adjustment_type,quantity_adjusted,adjustment_date,supplier_id,supplier_name,supplier_email
1001,1,1,2,11/1/2024,30,1,Widget A,101,1,15,50,10,8,101,home_decor,10,2001,1,replenishment,15,11/1/2024,1,SupplyCo,supplyco@example.com
1002,2,2,1,11/2/2024,25,2,Widget B,102,2,25,30,7,12,102,electronics,25,2002,2,depletion,5,11/2/2024,2,Home Goods Direct,homegoods@example.com
1003,3,1,3,11/3/2024,105,3,Widget C,103,1,35,20,8,20,103,clothes,33,2003,3,replenishment,10,11/3/2024,3,PetLife,petlife@gmail.com
1004,1,2,5,11/4/2024,75,4,Widget D,104,4,10,10,4,9,104,room_decor,16,2004,1,depletion,3,11/4/2024,4,AnthropologyFauna,anthropology.fauna@outlook.com
1005,2,3,2,11/5/2024,50,5,Widget E,105,4,20,15,4,18,105,kitchen_ware,17,2005,2,replenishment,20,11/5/2024,5,Seasonal Suppliers,seasonalsuppliers@example.com
1006,3,4,1,11/6/2024,35,6,Widget F,106,2,10,20,5,9,106,clean,22,2006,3,depletion,2,11/6/2024,6,CleanPro Supply,cleanpro.supply@supplies.com
1007,1,3,4,11/7/2024,60,7,Widget G,107,1,11,25,6,9,107,bathroom_suppl,40,2007,1,replenishment,25,11/7/2024,7,Bath Essentials Inc.,bathessentials@bathsupplies.com
1008,3,2,2,11/8/2024,70,8,Widget H,108,3,14,15,4,7,108,pets,55,2008,3,replenishment,15,11/8/2024,8,Pet Life Co,petlife.co@animalsupplies.com
1009,2,1,3,11/9/2024,75,9,Widget I,109,4,8,25,6,6,109,outer_decor,35,2009,2,depletion,10,11/9/2024,9,Deco Solutions,decosolutions@decorating.com
1010,3,3,6,11/10/2024,210,10,Widget J,110,1,8,30,7,6,110,seasonal_items,48,2010,1,depletion,4,11/10/2024,10,Seasonal Creations,seasonalcreations@seasonals.com
1011,4,5,3,11/11/2024,45,11,Widget K,111,3,15,40,10,8,111,health_beauty,30,2011,4,replenishment,12,11/11/2024,11,Beauty Plus,beautyplus@example.com
1012,5,6,2,11/12/2024,36,12,Widget L,112,5,18,35,9,14,112,fitness,18,2012,5,depletion,5,11/12/2024,12,FitZone Supply,fitzone@supply.com
1013,6,4,4,11/13/2024,80,13,Widget M,113,6,20,60,15,10,113,camping_outdoor,50,2013,6,replenishment,30,11/13/2024,13,Adventure Gear,adventuregear@outdoors.com
1014,7,2,3,11/14/2024,72,14,Widget N,114,7,24,20,5,12,114,toys,40,2014,7,depletion,4,11/14/2024,14,Playtime Inc.,playtime@toys.com
1015,8,3,1,11/15/2024,40,15,Widget O,115,2,40,15,5,30,115,electronics,40,2015,8,replenishment,15,11/15/2024,15,ElectroSupplies,electrosupplies@tech.com
